"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"VIN_MEAS","TP4-1","20.2mm","3.4mm","Bottom","0mm","Surface mount"
"NetF1_2","TP29-1","44.9mm","4.6mm","Bottom","0mm","Surface mount"
"DRV_FAULTN","TP33-1","34mm","17mm","Bottom","0mm","Surface mount"
"MTDI","TP10-1","14.9mm","4.6mm","Bottom","0mm","Surface mount"
"MTMS","TP9-1","13.3mm","3.2mm","Bottom","0mm","Surface mount"
"+3V3P","TP17-1","10.2mm","10.9mm","Bottom","0mm","Surface mount"
"VBAT_MEAS","TP5-1","12.4mm","5mm","Bottom","0mm","Surface mount"
"+3V3","TP28-1","35.1mm","10.8mm","Bottom","0mm","Surface mount"
"GND","TP32-1","36.6mm","13.3mm","Bottom","0mm","Surface mount"
"USB_DP","TP2-1","17.6mm","5.1mm","Bottom","0mm","Surface mount"
"LED_PWM_BLUE","TP15-1","28.1mm","14.1mm","Bottom","0mm","Surface mount"
"ESP32_ENABLE","TP1-1","11.1mm","2.5mm","Bottom","0mm","Surface mount"
"ESP32_I2C_SDA","TP11-1","16mm","2.9mm","Bottom","0mm","Surface mount"
"BUTTON","TP7-1","32.1mm","10.3mm","Bottom","0mm","Surface mount"
"USB_DN","TP3-1","19.8mm","7.4mm","Bottom","0mm","Surface mount"
"U0TXD","TP6-1","21.9mm","9.7mm","Bottom","0mm","Surface mount"
"LED_PWM_RED","TP13-1","28.9mm","10mm","Bottom","0mm","Surface mount"
"ESP32_I2C_SCL","TP12-1","18.1mm","3.1mm","Bottom","0mm","Surface mount"
"LED_PWM_GREEN","TP14-1","27.4mm","12.2mm","Bottom","0mm","Surface mount"
"U0RXD","TP8-1","19.8mm","9.8mm","Bottom","0mm","Surface mount"
"GPIO8","TP16-1","16.2mm","6.7mm","Bottom","0mm","Surface mount"
"GND","TP19-1","10.4mm","8.9mm","Bottom","0mm","Surface mount"
"+3V3","TP18-1","21.1mm","13.5mm","Bottom","0mm","Surface mount"
"+V_POWER_IN","TP22-1","40.5mm","4.4mm","Bottom","0mm","Surface mount"
"+V_BAT","TP20-1","44.9mm","11.8mm","Bottom","0mm","Surface mount"
"NetR16_1","TP24-1","37mm","4.3mm","Bottom","0mm","Surface mount"
"+V_BAT","TP31-1","39.9mm","11mm","Bottom","0mm","Surface mount"
"BAT_TS","TP21-1","44.9mm","8mm","Bottom","0mm","Surface mount"
"GND","TP34-1","35.3mm","18.7mm","Bottom","0mm","Surface mount"
"GND","TP25-1","39.1mm","6.4mm","Bottom","0mm","Surface mount"
"BAT_C\H\G\","TP23-1","36mm","7.6mm","Bottom","0mm","Surface mount"
"Motor_N","TP30-1","44.9mm","15.5mm","Bottom","0mm","Surface mount"
"Motor_P","TP27-1","44.9mm","18mm","Bottom","0mm","Surface mount"
"GND","TP36-1","42.6mm","13.8mm","Bottom","0mm","Surface mount"
"NetR18_2","TP35-1","41.5mm","16.1mm","Bottom","0mm","Surface mount"
"+V_BAT","TP26-1","39.9mm","17.8mm","Bottom","0mm","Surface mount"
